DATE,INDPRO,Month,Year
2020-05-01,85.8434,5,2020
2020-06-01,91.1622,6,2020
2020-07-01,94.8887,7,2020
2020-08-01,95.8924,8,2020
2020-09-01,95.6019,9,2020
2020-10-01,96.6454,10,2020
2020-11-01,97.1609,11,2020
2020-12-01,98.2854,12,2020
2021-01-01,99.4076,1,2021
2021-02-01,96.3966,2,2021
2021-03-01,99.1618,3,2021
2021-04-01,99.2416,4,2021
2021-05-01,99.9226,5,2021
2021-06-01,100.4704,6,2021
2021-07-01,101.1676,7,2021
2021-08-01,101.0927,8,2021
2021-09-01,99.8606,9,2021
2021-10-01,101.2534,10,2021
2021-11-01,101.9977,11,2021
2021-12-01,101.7459,12,2021
2022-01-01,102.5479,1,2022
2022-02-01,103.5578,2,2022
2022-03-01,104.0733,3,2022
2022-04-01,105.4868,4,2022
2022-05-01,105.7475,5,2022
