DATE,RSXFS,Year,Month
2017-06-01,416360,2017,6
2017-07-01,416487,2017,7
2017-08-01,417014,2017,8
2017-09-01,426455,2017,9
2017-10-01,426656,2017,10
2017-11-01,430967,2017,11
2017-12-01,434129,2017,12
2018-01-01,431785,2018,1
2018-02-01,434631,2018,2
2018-03-01,433239,2018,3
2018-04-01,435061,2018,4
2018-05-01,439759,2018,5
2018-06-01,437527,2018,6
2018-07-01,440422,2018,7
2018-08-01,439876,2018,8
2018-09-01,439346,2018,9
2018-10-01,444148,2018,10
2018-11-01,445807,2018,11
2018-12-01,436884,2018,12
2019-01-01,439793,2019,1
2019-02-01,440875,2019,2
2019-03-01,446954,2019,3
2019-04-01,447230,2019,4
2019-05-01,448985,2019,5
2019-06-01,448992,2019,6
2019-07-01,453667,2019,7
2019-08-01,455967,2019,8
2019-09-01,452048,2019,9
2019-10-01,453451,2019,10
2019-11-01,455933,2019,11
2019-12-01,458923,2019,12
2020-01-01,456113,2020,1
2020-02-01,457898,2020,2
2020-03-01,432392,2020,3
2020-04-01,375918,2020,4
2020-05-01,442045,2020,5
2020-06-01,472249,2020,6
2020-07-01,481169,2020,7
2020-08-01,482391,2020,8
2020-09-01,492700,2020,9
2020-10-01,490826,2020,10
2020-11-01,486833,2020,11
2020-12-01,488876,2020,12
2021-01-01,513269,2021,1
2021-02-01,503650,2021,2
2021-03-01,558369,2021,3
2021-04-01,555865,2021,4
2021-05-01,550179,2021,5
2021-06-01,550638,2021,6
2021-07-01,543355,2021,7
2021-08-01,546946,2021,8
2021-09-01,552617,2021,9
2021-10-01,562296,2021,10
2021-11-01,565690,2021,11
2021-12-01,556810,2021,12
2022-01-01,576000,2022,1
2022-02-01,581768,2022,2
2022-03-01,587570,2022,3
2022-04-01,590259,2022,4
2022-05-01,587893,2022,5
